,oldMonth,OldTemp,Month,Temp
0,January,69.1098511517192,June,73.00023507340707
1,February,68.84632888590511,July,73.95330534395185
2,March,69.50854990036567,August,74.5958504299174
3,April,70.56979934074361,September,74.42917082638728
4,May,71.90946085355894,October,73.7811095976052
5,June,73.00023507340707,November,72.19091116826316
6,July,73.95330534395185,December,70.27288102710759
7,August,74.5958504299174,January,69.1098511517192
8,September,74.42917082638728,February,68.84632888590511
9,October,73.7811095976052,March,69.50854990036567
10,November,72.19091116826316,April,70.56979934074361
11,December,70.27288102710759,May,71.90946085355894
