Year,Month,NDVI,datetime
2009.0,7.0,0.27336518558455103,2009-07-01
2009.0,8.0,0.27431137179150994,2009-08-01
2009.0,9.0,0.2737119462754991,2009-09-01
2009.0,10.0,0.2940569277162905,2009-10-01
2009.0,11.0,0.29577773294331117,2009-11-01
2009.0,12.0,0.3757962120903863,2009-12-01
2010.0,1.0,0.2809177681251808,2010-01-01
2010.0,2.0,0.34110905211648823,2010-02-01
2010.0,3.0,0.2779471550458743,2010-03-01
2010.0,4.0,0.22573068406846789,2010-04-01
2010.0,5.0,0.21428951216332706,2010-05-01
2010.0,6.0,0.2120918697781033,2010-06-01
2010.0,7.0,0.22780222951630016,2010-07-01
2010.0,8.0,0.22636950457537616,2010-08-01
2010.0,9.0,0.20631448722180026,2010-09-01
2010.0,10.0,0.20581676341869212,2010-10-01
2010.0,11.0,0.2087789464879919,2010-11-01
2010.0,12.0,0.2176386515299479,2010-12-01
2011.0,1.0,0.4814008547935957,2011-01-01
2011.0,2.0,0.46421936411916476,2011-02-01
2011.0,3.0,0.46440327020339023,2011-03-01
2011.0,4.0,0.33878870363588687,2011-04-01
2011.0,5.0,0.32213382956422404,2011-05-01
2011.0,6.0,0.2695174982518326,2011-06-01
2011.0,7.0,0.24598632624119887,2011-07-01
2011.0,8.0,0.2570156992217641,2011-08-01
2011.0,9.0,0.2624828197337963,2011-09-01
2011.0,10.0,0.24501251880033517,2011-10-01
2011.0,11.0,0.24237726941520785,2011-11-01
2011.0,12.0,0.2201552449921031,2011-12-01
2012.0,1.0,0.21424401836630738,2012-01-01
2012.0,2.0,0.18215881159276137,2012-02-01
2012.0,3.0,0.23469498716754678,2012-03-01
2012.0,4.0,0.202177306752146,2012-04-01
2012.0,5.0,0.20334830107512297,2012-05-01
2012.0,6.0,0.17403156374707635,2012-06-01
2012.0,7.0,0.19480353225896388,2012-07-01
2012.0,8.0,0.17799514016987364,2012-08-01
2012.0,9.0,0.18131719989541137,2012-09-01
2012.0,10.0,0.20226947172188464,2012-10-01
2012.0,11.0,0.19918097978756752,2012-11-01
2012.0,12.0,0.198590714254497,2012-12-01
2013.0,1.0,0.1755904562679338,2013-01-01
2013.0,2.0,0.20716660111038773,2013-02-01
2013.0,3.0,0.2590670409025969,2013-03-01
2013.0,4.0,0.2508903550512997,2013-04-01
2013.0,5.0,0.23197251779061775,2013-05-01
2013.0,6.0,0.21714580206223477,2013-06-01
2013.0,7.0,0.19796950728804977,2013-07-01
2013.0,8.0,0.2079983228518639,2013-08-01
2013.0,9.0,0.19437934734203197,2013-09-01
2013.0,10.0,0.19786528599115066,2013-10-01
2013.0,11.0,0.20631293308587723,2013-11-01
2013.0,12.0,0.25596903577262975,2013-12-01
2014.0,1.0,0.26204361150294175,2014-01-01
2014.0,2.0,0.36377927992078996,2014-02-01
2014.0,3.0,0.40209843199930073,2014-03-01
2014.0,4.0,0.37956612198441114,2014-04-01
2014.0,5.0,0.32231677020037613,2014-05-01
2014.0,6.0,0.3343627364547164,2014-06-01
2014.0,7.0,0.2909081776936849,2014-07-01
2014.0,8.0,0.2668068026318962,2014-08-01
2014.0,9.0,0.264460504790883,2014-09-01
2014.0,10.0,0.2800079392798153,2014-10-01
2014.0,11.0,0.23387631074881848,2014-11-01
2014.0,12.0,0.2664509526005498,2014-12-01
2015.0,1.0,0.3457284856725622,2015-01-01
2015.0,2.0,0.3311936178325135,2015-02-01
2015.0,3.0,0.36113371672453703,2015-03-01
2015.0,4.0,0.2636802108199508,2015-04-01
2015.0,5.0,0.2597968019085166,2015-05-01
2015.0,6.0,0.24236667303391446,2015-06-01
2015.0,7.0,0.22102494887363763,2015-07-01
2015.0,8.0,0.24745646818184558,2015-08-01
2015.0,9.0,0.5228599736719955,2015-09-01
2015.0,10.0,0.46481572845835745,2015-10-01
2015.0,11.0,0.4225071565604504,2015-11-01
2015.0,12.0,0.4435397489571277,2015-12-01
2016.0,1.0,0.3642812187289014,2016-01-01
2016.0,2.0,0.3421921671172719,2016-02-01
2016.0,3.0,0.2783066549418885,2016-03-01
2016.0,4.0,0.25331687927246094,2016-04-01
2016.0,5.0,0.2392131428659698,2016-05-01
2016.0,6.0,0.23947904139389226,2016-06-01
2016.0,7.0,0.22241585342972367,2016-07-01
2016.0,8.0,0.18579991658528647,2016-08-01
2016.0,9.0,0.30691799116723334,2016-09-01
2016.0,10.0,0.2819141576319565,2016-10-01
2016.0,11.0,0.25204074529953946,2016-11-01
2016.0,12.0,0.31237752937976226,2016-12-01
