,oldMonth,OldTemp,Month,Temp
0,January,70.92276923284022,May,74.23889024341287
1,February,70.73993366032639,June,75.92500124248825
2,March,71.35309412226681,July,76.8350675926031
3,April,72.77086479314603,August,77.52501878917684
4,May,74.23889024341287,September,77.45842936755226
5,June,75.92500124248825,October,76.55216258283825
6,July,76.8350675926031,November,74.62023376079947
7,August,77.52501878917684,December,72.47611469950547
8,September,77.45842936755226,January,70.92276923284022
9,October,76.55216258283825,February,70.73993366032639
10,November,74.62023376079947,March,71.35309412226681
11,December,72.47611469950547,April,72.77086479314603
