,oldMonth,oldET,Month,ET
0,January,1.5539930555555557,June,2.009094769021739
1,February,1.705392795138889,July,2.114481808574879
2,March,2.0238037109375,August,1.7235875226449275
3,April,2.0008387586805556,September,1.4839938103864734
4,May,2.0503499348958334,October,1.5341725680720246
5,June,2.009094769021739,November,1.5616847971246748
6,July,2.114481808574879,December,1.341701783459596
7,August,1.7235875226449275,January,1.5539930555555557
8,September,1.4839938103864734,February,1.705392795138889
9,October,1.5341725680720246,March,2.0238037109375
10,November,1.5616847971246748,April,2.0008387586805556
11,December,1.341701783459596,May,2.0503499348958334
