oldMonth,RF_in,Month,RF
January,3.222706546893777,May,0.5358498067836297
February,1.966498349997384,June,0.26706016117630643
March,2.6026997824879303,July,0.4531809321395456
April,1.1596721829388374,August,0.2105565266279899
May,0.5358498067836297,September,0.5230799018954614
June,0.26706016117630643,October,1.354659307229344
July,0.4531809321395456,November,1.8213314489172576
August,0.2105565266279899,December,2.2417490612001703
September,0.5230799018954614,January,3.222706546893777
October,1.354659307229344,February,1.966498349997384
November,1.8213314489172576,March,2.6026997824879303
December,2.2417490612001703,April,1.1596721829388374
