oldMonth,oldNDVI,Month,NDVI
January,0.34973383915277173,November,0.300408619068287
February,0.3498379257578908,December,0.33319220177921244
March,0.331773543652193,January,0.34973383915277173
April,0.3014347646084719,February,0.3498379257578908
May,0.27573998746482503,March,0.331773543652193
June,0.2714098865150386,April,0.3014347646084719
July,0.2494425406822791,May,0.27573998746482503
August,0.24093548592678837,June,0.2714098865150386
September,0.2560944126994974,July,0.2494425406822791
October,0.26503305353670037,August,0.24093548592678837
November,0.300408619068287,September,0.2560944126994974
December,0.33319220177921244,October,0.26503305353670037
