,oldMonth,OldTemp,Month,Temp
0,January,71.65503453123985,May,75.04081534344212
1,February,71.50825843317763,June,76.72779198158756
2,March,72.14538562238529,July,77.62029668836634
3,April,73.58507583047609,August,78.31840453359638
4,May,75.04081534344212,September,78.30438467318547
5,June,76.72779198158756,October,77.36664295657015
6,July,77.62029668836634,November,75.40831323082405
7,August,78.31840453359638,December,73.24177837266492
8,September,78.30438467318547,January,71.65503453123985
9,October,77.36664295657015,February,71.50825843317763
10,November,75.40831323082405,March,72.14538562238529
11,December,73.24177837266492,April,73.58507583047609
