oldMonth,RF_in,Month,RF
January,7.74746001925751,May,5.2494157763755975
February,6.000170119842217,June,3.423496241727042
March,8.679105661664543,July,5.408736023481978
April,6.64798056395852,August,5.07919318604134
May,5.2494157763755975,September,5.310072957768515
June,3.423496241727042,October,5.998199589447581
July,5.408736023481978,November,7.0528701875730935
August,5.07919318604134,December,6.954002063209065
September,5.310072957768515,January,7.74746001925751
October,5.998199589447581,February,6.000170119842217
November,7.0528701875730935,March,8.679105661664543
December,6.954002063209065,April,6.64798056395852
