oldMonth,oldNDVI,Month,NDVI
January,0.43505236766956473,November,0.33238208367500777
February,0.368344973752528,December,0.42549409872219884
March,0.257768120088695,January,0.43505236766956473
April,0.25504821476660106,February,0.368344973752528
May,0.2681687286889564,March,0.257768120088695
June,0.3271349264345957,April,0.25504821476660106
July,0.21202348219363434,May,0.2681687286889564
August,0.37309965743185336,June,0.3271349264345957
September,0.389807263783693,July,0.21202348219363434
October,0.3522658706956666,August,0.37309965743185336
November,0.33238208367500777,September,0.389807263783693
December,0.42549409872219884,October,0.3522658706956666
