oldMonth,oldNDVI,Month,NDVI
January,0.3392926576402452,November,0.26780576117244764
February,0.3515922419230143,December,0.2989557303911374
March,0.32256115289381987,January,0.3392926576402452
April,0.29133824088521376,February,0.3515922419230143
May,0.28492745510872947,March,0.32256115289381987
June,0.2676133778926201,April,0.29133824088521376
July,0.23100417654285627,May,0.28492745510872947
August,0.23221306379704051,June,0.2676133778926201
September,0.24117248757951956,July,0.23100417654285627
October,0.2533588536218134,August,0.23221306379704051
November,0.26780576117244764,September,0.24117248757951956
December,0.2989557303911374,October,0.2533588536218134
