Year,Month,Temp,datetime,tmean_f
2000,2.0,66.25123105474965,2000-02-01,
2000,3.0,66.57783260922389,2000-03-01,
2000,4.0,66.56032531605877,2000-04-01,
2000,5.0,68.67872186291098,2000-05-01,
2000,6.0,69.80804511760495,2000-06-01,
2000,7.0,71.18415496530068,2000-07-01,
2000,8.0,71.39514749072005,2000-08-01,
2000,9.0,71.04943274668122,2000-09-01,
2000,10.0,70.71587058476558,2000-10-01,
2000,11.0,68.6984300698748,2000-11-01,
2000,12.0,66.85391609700838,2000-12-01,
2001,1.0,67.17312659063813,2001-01-01,
2001,2.0,65.83650788625704,2001-02-01,
2001,3.0,65.99903201121332,2001-03-01,
2001,4.0,67.03039172259705,2001-04-01,
2001,5.0,67.7663383514107,2001-05-01,
2001,6.0,69.50454005660833,2001-06-01,
2001,7.0,71.03600959142793,2001-07-01,
2001,8.0,72.23815089000573,2001-08-01,
2001,9.0,71.67148534505117,2001-09-01,
2001,10.0,70.40724269866396,2001-10-01,
2001,11.0,69.85440180089255,2001-11-01,
2001,12.0,67.69516031397791,2001-12-01,
2002,1.0,66.79473067298122,2002-01-01,
2002,2.0,65.03815488318472,2002-02-01,
2002,3.0,66.51959497366113,2002-03-01,
2002,4.0,68.74813824497747,2002-04-01,
2002,5.0,69.43498885240001,2002-05-01,
2002,6.0,70.4647106290625,2002-06-01,
2002,7.0,71.46621189021334,2002-07-01,
2002,8.0,71.93855157193306,2002-08-01,
2002,9.0,70.75669531991993,2002-09-01,
2002,10.0,70.92540393752769,2002-10-01,
2002,11.0,69.33528464985673,2002-11-01,
2002,12.0,67.58331692766265,2002-12-01,
2003,1.0,66.29130719032726,2003-01-01,
2003,2.0,65.89135452273008,2003-02-01,
2003,3.0,67.76328017778835,2003-03-01,
2003,4.0,67.58890341715176,2003-04-01,
2003,5.0,69.58357622413351,2003-05-01,
2003,6.0,70.36844411572662,2003-06-01,
2003,7.0,71.73728425681244,2003-07-01,
2003,8.0,72.57680816062982,2003-08-01,
2003,9.0,71.85942377463714,2003-09-01,
2003,10.0,71.67403620211542,2003-10-01,
2003,11.0,69.21796108865733,2003-11-01,
2003,12.0,68.1135263893101,2003-12-01,
2004,1.0,66.8896043832292,2004-01-01,
2004,2.0,68.19965618746762,2004-02-01,
2004,3.0,67.44135851642227,2004-03-01,
2004,4.0,67.84582133147866,2004-04-01,
2004,5.0,70.40199875210298,2004-05-01,
2004,6.0,70.66543187684441,2004-06-01,
2004,7.0,71.32258111651655,2004-07-01,
2004,8.0,72.5629782132476,2004-08-01,
2004,9.0,72.17534839974064,2004-09-01,
2004,10.0,71.36582180772186,2004-10-01,
2004,11.0,69.96677797439605,2004-11-01,
2004,12.0,67.443845983875,2004-12-01,
2005,1.0,67.22638302481786,2005-01-01,
2005,2.0,66.31965287542052,2005-02-01,
2005,3.0,67.0318480975301,2005-03-01,
2005,4.0,68.14133022225437,2005-04-01,
2005,5.0,70.0913562447055,2005-05-01,
2005,6.0,70.51472384250269,2005-06-01,
2005,7.0,71.796142877643,2005-07-01,
2005,8.0,71.75918077940085,2005-08-01,
2005,9.0,72.38538624054294,2005-09-01,
2005,10.0,70.22412072788475,2005-10-01,
2005,11.0,69.28963606144217,2005-11-01,
2005,12.0,68.07853446745032,2005-12-01,
2006,1.0,67.01395263900821,2006-01-01,
2006,2.0,65.09889424466964,2006-02-01,
2006,3.0,66.87386247664139,2006-03-01,
2006,4.0,66.61012128591244,2006-04-01,
2006,5.0,67.08399249147512,2006-05-01,
