oldMonth,RF_in,Month,RF
January,1.9426677614501981,May,0.9906575519601908
February,1.4954761460908435,June,0.5849175495944836
March,1.5656178603230602,July,0.5929443355540789
April,1.0417566223635548,August,0.7199074588194213
May,0.9906575519601908,September,0.5417679121749102
June,0.5849175495944836,October,0.8160376526158888
July,0.5929443355540789,November,1.3045442665630858
August,0.7199074588194213,December,1.7377491941488952
September,0.5417679121749102,January,1.9426677614501981
October,0.8160376526158888,February,1.4954761460908435
November,1.3045442665630858,March,1.5656178603230602
December,1.7377491941488952,April,1.0417566223635548
