oldMonth,RF_in,Month,RF
January,3.5173196406987777,May,0.8230356224295283
February,1.8628290505015195,June,0.3499958870195728
March,3.1436649687716636,July,0.49640114447676426
April,1.4963029693770915,August,0.42935490058028886
May,0.8230356224295283,September,0.5702465205588341
June,0.3499958870195728,October,0.9753161365739417
July,0.49640114447676426,November,3.149416197699568
August,0.42935490058028886,December,2.8332309030321627
September,0.5702465205588341,January,3.5173196406987777
October,0.9753161365739417,February,1.8628290505015195
November,3.149416197699568,March,3.1436649687716636
December,2.8332309030321627,April,1.4963029693770915
