oldMonth,oldNDVI,Month,NDVI
January,0.4476589104386627,November,0.39983965357796086
February,0.4402289481241195,December,0.45092090606689456
March,0.41340339160356365,January,0.4476589104386627
April,0.40946495337564437,February,0.4402289481241195
May,0.4221761229660592,March,0.41340339160356365
June,0.4128953938526283,April,0.40946495337564437
July,0.3882054585075619,May,0.4221761229660592
August,0.36947627626782253,June,0.4128953938526283
September,0.4177645891341104,July,0.3882054585075619
October,0.42770101022900725,August,0.36947627626782253
November,0.39983965357796086,September,0.4177645891341104
December,0.45092090606689456,October,0.42770101022900725
