Year,Month,tmean_f,datetime,Temp
1990.0,1.0,71.92830810546874,1990-01-01,
1990.0,2.0,70.31231994628907,1990-02-01,
1990.0,3.0,70.33484191894532,1990-03-01,
1990.0,4.0,72.85350036621094,1990-04-01,
1990.0,5.0,73.38540344238281,1990-05-01,
1990.0,6.0,74.54541625976563,1990-06-01,
1990.0,7.0,75.58362731933593,1990-07-01,
1990.0,8.0,76.89710083007813,1990-08-01,
1990.0,9.0,77.16416625976562,1990-09-01,
1990.0,10.0,75.56830749511718,1990-10-01,
1990.0,11.0,74.30758361816406,1990-11-01,
1990.0,12.0,71.32435607910156,1990-12-01,
1991.0,1.0,69.9885498046875,1991-01-01,
1991.0,2.0,71.38143005371094,1991-02-01,
1991.0,3.0,69.90895080566406,1991-03-01,
1991.0,4.0,71.09991760253907,1991-04-01,
1991.0,5.0,72.39072265625,1991-05-01,
1991.0,6.0,73.14241333007813,1991-06-01,
1991.0,7.0,74.30257873535157,1991-07-01,
1991.0,8.0,75.81185607910157,1991-08-01,
1991.0,9.0,75.6510009765625,1991-09-01,
1991.0,10.0,74.75709838867188,1991-10-01,
1991.0,11.0,74.333251953125,1991-11-01,
1991.0,12.0,71.6967742919922,1991-12-01,
1992.0,1.0,69.59846801757813,1992-01-01,
1992.0,2.0,69.57749633789064,1992-02-01,
1992.0,3.0,70.54032592773439,1992-03-01,
1992.0,4.0,71.54258422851562,1992-04-01,
1992.0,5.0,73.73645324707032,1992-05-01,
1992.0,6.0,75.26533203125001,1992-06-01,
1992.0,7.0,75.4401611328125,1992-07-01,
1992.0,8.0,76.27967529296875,1992-08-01,
1992.0,9.0,76.54708557128907,1992-09-01,
1992.0,10.0,75.94709472656251,1992-10-01,
1992.0,11.0,73.65299682617187,1992-11-01,
1992.0,12.0,72.02919311523438,1992-12-01,
1993.0,1.0,68.92895202636718,1993-01-01,
1993.0,2.0,68.17830200195313,1993-02-01,
1993.0,3.0,69.93572387695312,1993-03-01,
1993.0,4.0,71.65233154296874,1993-04-01,
1993.0,5.0,71.87016296386719,1993-05-01,
1993.0,6.0,73.69100341796874,1993-06-01,
1993.0,7.0,74.37395324707032,1993-07-01,
1993.0,8.0,75.39378967285157,1993-08-01,
1993.0,9.0,75.32758483886718,1993-09-01,
1993.0,10.0,74.4526611328125,1993-10-01,
1993.0,11.0,71.83391723632812,1993-11-01,
1993.0,12.0,69.8579833984375,1993-12-01,
1994.0,1.0,68.5327392578125,1994-01-01,
1994.0,2.0,69.73937683105468,1994-02-01,
1994.0,3.0,70.09113159179688,1994-03-01,
1994.0,4.0,71.20516357421874,1994-04-01,
1994.0,5.0,72.39902954101562,1994-05-01,
1994.0,6.0,73.53658447265624,1994-06-01,
1994.0,7.0,75.53330688476562,1994-07-01,
1994.0,8.0,75.75999755859375,1994-08-01,
1994.0,9.0,75.80775146484375,1994-09-01,
1994.0,10.0,74.86209716796876,1994-10-01,
1994.0,11.0,72.95900268554688,1994-11-01,
1994.0,12.0,70.31951293945312,1994-12-01,
1995.0,1.0,68.96959533691407,1995-01-01,
1995.0,2.0,69.622412109375,1995-02-01,
1995.0,3.0,71.63072814941407,1995-03-01,
1995.0,4.0,71.83983154296875,1995-04-01,
1995.0,5.0,72.67725830078125,1995-05-01,
1995.0,6.0,73.84075317382812,1995-06-01,
1995.0,7.0,75.27338867187501,1995-07-01,
1995.0,8.0,75.09048461914062,1995-08-01,
1995.0,9.0,75.1181640625,1995-09-01,
1995.0,10.0,74.79879150390624,1995-10-01,
1995.0,11.0,73.79908447265626,1995-11-01,
1995.0,12.0,72.57879028320312,1995-12-01,
1996.0,1.0,71.50935363769531,1996-01-01,
1996.0,2.0,69.54224243164063,1996-02-01,
1996.0,3.0,69.73048706054686,1996-03-01,
1996.0,4.0,73.17858581542968,1996-04-01,
1996.0,5.0,74.63265991210938,1996-05-01,
1996.0,6.0,75.52666320800782,1996-06-01,
1996.0,7.0,76.1457275390625,1996-07-01,
1996.0,8.0,75.5745635986328,1996-08-01,
1996.0,9.0,75.72228088378907,1996-09-01,
1996.0,10.0,75.42903442382813,1996-10-01,
1996.0,11.0,74.25133056640625,1996-11-01,
1996.0,12.0,71.37854919433593,1996-12-01,
1997.0,1.0,70.78847045898436,1997-01-01,
1997.0,2.0,70.5732177734375,1997-02-01,
1997.0,3.0,71.1563720703125,1997-03-01,
1997.0,4.0,71.96300048828125,1997-04-01,
1997.0,5.0,73.32935485839843,1997-05-01,
1997.0,6.0,74.90325317382812,1997-06-01,
1997.0,7.0,75.1290313720703,1997-07-01,
1997.0,8.0,75.44637145996094,1997-08-01,
1997.0,9.0,75.93533325195312,1997-09-01,
1997.0,10.0,74.95508422851563,1997-10-01,
1997.0,11.0,72.57658386230469,1997-11-01,
1997.0,12.0,70.43709716796874,1997-12-01,
1998.0,1.0,69.7029052734375,1998-01-01,
1998.0,2.0,69.6491943359375,1998-02-01,
1998.0,3.0,71.11185607910156,1998-03-01,
1998.0,4.0,71.47791748046875,1998-04-01,
1998.0,5.0,71.19903259277345,1998-05-01,
1998.0,6.0,72.4655029296875,1998-06-01,
1998.0,7.0,73.68040161132812,1998-07-01,
1998.0,8.0,75.17483825683594,1998-08-01,
1998.0,9.0,74.5306640625,1998-09-01,
1998.0,10.0,74.04782104492188,1998-10-01,
1998.0,11.0,72.9385009765625,1998-11-01,
1998.0,12.0,71.20523986816406,1998-12-01,
1999.0,1.0,70.31419067382812,1999-01-01,
1999.0,2.0,69.7674072265625,1999-02-01,
1999.0,3.0,70.70395202636719,1999-03-01,
1999.0,4.0,71.37591857910157,1999-04-01,
1999.0,5.0,72.88806457519532,1999-05-01,
1999.0,6.0,73.12791748046875,1999-06-01,
1999.0,7.0,73.87838745117188,1999-07-01,
1999.0,8.0,74.50435485839844,1999-08-01,
1999.0,9.0,74.14008483886718,1999-09-01,
1999.0,10.0,73.50540161132812,1999-10-01,
1999.0,11.0,72.44499816894532,1999-11-01,
1999.0,12.0,71.13999938964844,1999-12-01,
2000.0,1.0,69.31790466308594,2000-01-01,
2000.0,2.0,69.86586303710938,2000-02-01,
2000.0,3.0,71.1651580810547,2000-03-01,
2000.0,4.0,71.1258331298828,2000-04-01,
2000.0,5.0,72.81411437988281,2000-05-01,
2000.0,6.0,74.31832885742188,2000-06-01,
2000.0,7.0,75.622900390625,2000-07-01,
2000.0,8.0,75.89620971679688,2000-08-01,
2000.0,9.0,75.31199951171875,2000-09-01,
2000.0,10.0,74.92742004394532,2000-10-01,
2000.0,11.0,72.9348358154297,2000-11-01,
2000.0,12.0,71.02604980468749,2000-12-01,
2001.0,1.0,71.07378845214845,2001-01-01,
2001.0,2.0,70.54696044921874,2001-02-01,
2001.0,3.0,70.70298461914064,2001-03-01,
2001.0,4.0,71.58742065429688,2001-04-01,
2001.0,5.0,72.12774047851562,2001-05-01,
2001.0,6.0,73.66716918945312,2001-06-01,
2001.0,7.0,75.09185180664062,2001-07-01,
2001.0,8.0,76.20887145996093,2001-08-01,
2001.0,9.0,75.7558349609375,2001-09-01,
2001.0,10.0,74.82733764648438,2001-10-01,
2001.0,11.0,73.55675048828124,2001-11-01,
2001.0,12.0,72.45411376953125,2001-12-01,
2002.0,1.0,71.26773986816406,2002-01-01,
2002.0,2.0,69.56910705566406,2002-02-01,
2002.0,3.0,71.00854797363282,2002-03-01,
2002.0,4.0,73.35883178710938,2002-04-01,
2002.0,5.0,73.68362731933594,2002-05-01,
2002.0,6.0,74.77858276367188,2002-06-01,
2002.0,7.0,75.35032348632812,2002-07-01,
2002.0,8.0,76.20588684082031,2002-08-01,
2002.0,9.0,75.329248046875,2002-09-01,
2002.0,10.0,75.27161254882813,2002-10-01,
2002.0,11.0,73.65349731445312,2002-11-01,
2002.0,12.0,72.00766296386719,2002-12-01,
2003.0,1.0,71.11524047851563,2003-01-01,
2003.0,2.0,70.51017456054689,2003-02-01,
2003.0,3.0,72.28838806152345,2003-03-01,
2003.0,4.0,72.20108032226562,2003-04-01,
2003.0,5.0,73.75322875976562,2003-05-01,
2003.0,6.0,74.83108215332031,2003-06-01,
2003.0,7.0,75.93742065429689,2003-07-01,
2003.0,8.0,76.86532592773438,2003-08-01,
2003.0,9.0,76.28983154296876,2003-09-01,
2003.0,10.0,76.06669311523437,2003-10-01,
2003.0,11.0,73.81283264160156,2003-11-01,
2003.0,12.0,72.5066925048828,2003-12-01,
2004.0,1.0,71.2904052734375,2004-01-01,
2004.0,2.0,72.62051696777344,2004-02-01,
2004.0,3.0,72.33008422851563,2004-03-01,
2004.0,4.0,72.72508239746094,2004-04-01,
2004.0,5.0,74.755322265625,2004-05-01,
2004.0,6.0,75.05583190917969,2004-06-01,
2004.0,7.0,75.734521484375,2004-07-01,
2004.0,8.0,76.84000244140626,2004-08-01,
2004.0,9.0,76.67408447265625,2004-09-01,
2004.0,10.0,75.78024291992188,2004-10-01,
2004.0,11.0,74.42841796875,2004-11-01,
2004.0,12.0,72.04064331054687,2004-12-01,
2005.0,1.0,71.56257934570313,2005-01-01,
2005.0,2.0,70.80357055664064,2005-02-01,
2005.0,3.0,71.46265869140625,2005-03-01,
2005.0,4.0,72.87666625976563,2005-04-01,
2005.0,5.0,74.52919311523438,2005-05-01,
2005.0,6.0,74.8167510986328,2005-06-01,
2005.0,7.0,75.86314392089844,2005-07-01,
2005.0,8.0,76.23201293945313,2005-08-01,
2005.0,9.0,76.81658325195312,2005-09-01,
2005.0,10.0,74.84064941406251,2005-10-01,
2005.0,11.0,73.61000366210938,2005-11-01,
2005.0,12.0,72.09371032714844,2005-12-01,
2006.0,1.0,71.40137329101563,2006-01-01,
2006.0,2.0,69.70321655273438,2006-02-01,
2006.0,3.0,71.1848388671875,2006-03-01,
2006.0,4.0,71.42833251953125,2006-04-01,
2006.0,5.0,71.83080444335937,2006-05-01,
2006.0,6.0,74.11866455078125,2006-06-01,
2006.0,7.0,75.187255859375,2006-07-01,
2006.0,8.0,76.04806213378907,2006-08-01,
