,oldMonth,OldTemp,Month,Temp
0,January,70.89400622153374,May,73.75274234696946
1,February,70.70090555139413,June,74.82351032317327
2,March,71.38955725146303,July,75.71157358006437
3,April,72.46196105228915,August,76.38129775510129
4,May,73.75274234696946,September,76.28490284459349
5,June,74.82351032317327,October,75.59733885353158
6,July,75.71157358006437,November,74.01185864580407
7,August,76.38129775510129,December,72.10227529669758
8,September,76.28490284459349,January,70.89400622153374
9,October,75.59733885353158,February,70.70090555139413
10,November,74.01185864580407,March,71.38955725146303
11,December,72.10227529669758,April,72.46196105228915
