oldMonth,RF_in,Month,RF
January,4.2124038733281655,May,1.0593725819155493
February,2.4388120612271895,June,0.6939971919860976
March,3.1838436992104815,July,1.14283926904661
April,1.7412804607093453,August,1.3545035181659653
May,1.0593725819155493,September,1.172021417871727
June,0.6939971919860976,October,1.6638302746759561
July,1.14283926904661,November,2.959527551392853
August,1.3545035181659653,December,3.0216440459205614
September,1.172021417871727,January,4.2124038733281655
October,1.6638302746759561,February,2.4388120612271895
November,2.959527551392853,March,3.1838436992104815
December,3.0216440459205614,April,1.7412804607093453
