oldMonth,oldNDVI,Month,NDVI
January,0.5439227814144558,November,0.4896970346238878
February,0.5278201940324572,December,0.5578389771779378
March,0.5127760495079888,January,0.5439227814144558
April,0.4540350151877118,February,0.5278201940324572
May,0.4149721565409603,March,0.5127760495079888
June,0.35449381210865116,April,0.4540350151877118
July,0.34758722425526023,May,0.4149721565409603
August,0.3646747806133368,June,0.35449381210865116
September,0.3980608088338477,July,0.34758722425526023
October,0.41406401711651397,August,0.3646747806133368
November,0.4896970346238878,September,0.3980608088338477
December,0.5578389771779378,October,0.41406401711651397
