oldMonth,oldNDVI,Month,NDVI
January,0.48372265116373697,November,0.3633077758789062
February,0.4411258551279703,December,0.4191464594523112
March,0.37762204488118484,January,0.48372265116373697
April,0.3881884941687951,February,0.4411258551279703
May,0.4421546182876978,March,0.37762204488118484
June,0.37383224291679185,April,0.3881884941687951
July,0.33044936057848806,May,0.4421546182876978
August,0.34764751043075165,June,0.37383224291679185
September,0.3859683931790865,July,0.33044936057848806
October,0.40556795071332885,August,0.34764751043075165
November,0.3633077758789062,September,0.3859683931790865
December,0.4191464594523112,October,0.40556795071332885
