oldMonth,RF_in,Month,RF
January,4.341611436562299,May,2.6004089485440116
February,3.967769145411155,June,1.6752843443944647
March,4.519614291468897,July,2.4997545070683143
April,3.693762788532334,August,2.648469320616597
May,2.6004089485440116,September,2.4751833938238192
June,1.6752843443944647,October,2.9360616755463105
July,2.4997545070683143,November,4.164347382717712
August,2.648469320616597,December,4.5968305582573485
September,2.4751833938238192,January,4.341611436562299
October,2.9360616755463105,February,3.967769145411155
November,4.164347382717712,March,4.519614291468897
December,4.5968305582573485,April,3.693762788532334
