,oldMonth,oldTemp,Month,Temp
0,January,71.03013118194981,August,77.78368060725808
1,February,70.94831481905021,September,77.7725764310189
2,March,71.51714661159951,October,76.88118898352393
3,April,73.11414048728635,November,74.9197649104949
4,May,74.55892907612012,December,72.76844150011837
5,June,76.24534790821046,January,71.03013118194981
6,July,77.12434903273575,February,70.94831481905021
7,August,77.78368060725808,March,71.51714661159951
8,September,77.7725764310189,April,73.11414048728635
9,October,76.88118898352393,May,74.55892907612012
10,November,74.9197649104949,June,76.24534790821046
11,December,72.76844150011837,July,77.12434903273575
