oldMonth,RF_in,Month,RF
January,3.133533398417563,May,0.6295954724781605
February,2.226840424351097,June,0.200921200022354
March,2.1005975240881334,July,0.28655558813162657
April,1.1284325623274243,August,0.42305888936818203
May,0.6295954724781605,September,0.5137264385799019
June,0.200921200022354,October,1.0489307661838456
July,0.28655558813162657,November,1.6568709430871844
August,0.42305888936818203,December,2.7053467729013367
September,0.5137264385799019,January,3.133533398417563
October,1.0489307661838456,February,2.226840424351097
November,1.6568709430871844,March,2.1005975240881334
December,2.7053467729013367,April,1.1284325623274243
