,oldMonth,oldET,Month,ET
0,January,2.0187700515756988,June,2.5554233939316893
1,February,2.188394830852171,July,2.6142371705229257
2,March,2.535526315789474,August,2.154865083905416
3,April,2.5565258632692847,September,1.8627207004083102
4,May,2.5037061784234895,October,1.9403906051360285
5,June,2.5554233939316893,November,1.887641319304228
6,July,2.6142371705229257,December,1.6102116704805494
7,August,2.154865083905416,January,2.0187700515756988
8,September,1.8627207004083102,February,2.188394830852171
9,October,1.9403906051360285,March,2.535526315789474
10,November,1.887641319304228,April,2.5565258632692847
11,December,1.6102116704805494,May,2.5037061784234895
