oldMonth,oldNDVI,Month,NDVI
January,0.45648354106479216,November,0.33409208827548553
February,0.4739996963077121,December,0.396132632361518
March,0.4290385415818956,January,0.45648354106479216
April,0.350528987044962,February,0.4739996963077121
May,0.3098870831677037,March,0.4290385415818956
June,0.26946277547086406,April,0.350528987044962
July,0.24654904848490003,May,0.3098870831677037
August,0.25489614152500767,June,0.26946277547086406
September,0.24908982026271329,July,0.24654904848490003
October,0.29114072037558264,August,0.25489614152500767
November,0.33409208827548553,September,0.24908982026271329
December,0.396132632361518,October,0.29114072037558264
