,Month,NDVI
292,August,0.6715547538097993
293,September,0.7953913182388117
294,October,0.7681761376651717
295,November,0.7613168410312983
296,December,0.7929070555133584
297,January,0.7720209757486979
298,February,0.7820250428753135
299,March,0.7358382896140769
300,April,0.7223859245394483
301,May,0.7131086278844763
302,June,0.535835642873505
303,July,0.6753919624987944
