oldMonth,RF_in,Month,RF
January,5.584641413777819,May,3.982344892659856
February,5.067263472694077,June,3.538747313961003
March,6.963567750373885,July,4.369265429524862
April,5.983591820490816,August,3.995086171138581
May,3.982344892659856,September,2.5709105566746393
June,3.538747313961003,October,3.345899296844676
July,4.369265429524862,November,5.111056865587181
August,3.995086171138581,December,6.171380674465942
September,2.5709105566746393,January,5.584641413777819
October,3.345899296844676,February,5.067263472694077
November,5.111056865587181,March,6.963567750373885
December,6.171380674465942,April,5.983591820490816
