oldMonth,oldNDVI,Month,NDVI
January,0.7440889014726804,November,0.6881715958206742
February,0.7057634499632282,December,0.735833487805025
March,0.6587885858983169,January,0.7440889014726804
April,0.6725855136302575,February,0.7057634499632282
May,0.7061205154810197,March,0.6587885858983169
June,0.6883565317644806,April,0.6725855136302575
July,0.6682244904926585,May,0.7061205154810197
August,0.7112821758302867,June,0.6883565317644806
September,0.7133704363903542,July,0.6682244904926585
October,0.6775261733153832,August,0.7112821758302867
November,0.6881715958206742,September,0.7133704363903542
December,0.735833487805025,October,0.6775261733153832
