oldMonth,RF_in,Month,RF
January,2.689810025303495,May,0.6051219149372499
February,1.9419503935845848,June,0.6712122933213561
March,1.1972366404130783,July,0.5629952125557223
April,1.5609398965869214,August,0.5040171806311815
May,0.6051219149372499,September,0.6931713554736374
June,0.6712122933213561,October,1.1057035019432584
July,0.5629952125557223,November,1.811004260120487
August,0.5040171806311815,December,1.6965044532161748
September,0.6931713554736374,January,2.689810025303495
October,1.1057035019432584,February,1.9419503935845848
November,1.811004260120487,March,1.1972366404130783
December,1.6965044532161748,April,1.5609398965869214
