oldMonth,oldNDVI,Month,NDVI
January,0.25609742058648,November,0.20924308541380326
February,0.2639894221741476,December,0.23433295355902775
March,0.24020984272897977,January,0.25609742058648
April,0.21300440341771948,February,0.2639894221741476
May,0.21632708896372502,March,0.24020984272897977
June,0.1928518219211502,April,0.21300440341771948
July,0.17076263989252013,May,0.21632708896372502
August,0.16682384405833472,June,0.1928518219211502
September,0.17906827374174833,July,0.17076263989252013
October,0.19191748577418602,August,0.16682384405833472
November,0.20924308541380326,September,0.17906827374174833
December,0.23433295355902775,October,0.19191748577418602
