oldMonth,oldNDVI,Month,NDVI
January,0.555296750480746,November,0.5394510245617525
February,0.46809121779453605,December,0.5734261877742814
March,0.4031064878864053,January,0.555296750480746
April,0.3288940740333549,February,0.46809121779453605
May,0.3607088575335989,March,0.4031064878864053
June,0.3358956293502764,April,0.3288940740333549
July,0.47717988411811907,May,0.3607088575335989
August,0.43153474903740663,June,0.3358956293502764
September,0.37080686656158535,July,0.47717988411811907
October,0.47933041970161516,August,0.43153474903740663
November,0.5394510245617525,September,0.37080686656158535
December,0.5734261877742814,October,0.47933041970161516
