oldMonth,RF_in,Month,RF
January,2.5206545662631346,May,4.5014254211184985
February,2.343655688836122,June,2.440632041604363
March,3.4127253198257295,July,3.305391896198287
April,2.9467790599511816,August,3.4251472429778764
May,4.5014254211184985,September,2.9781464553948567
June,2.440632041604363,October,2.6136288295259233
July,3.305391896198287,November,1.9088081124171243
August,3.4251472429778764,December,2.061718761480244
September,2.9781464553948567,January,2.5206545662631346
October,2.6136288295259233,February,2.343655688836122
November,1.9088081124171243,March,3.4127253198257295
December,2.061718761480244,April,2.9467790599511816
