oldMonth,oldNDVI,Month,NDVI
January,0.531794632334768,November,0.45861977094485434
February,0.5276888623649691,December,0.5094361538357205
March,0.4684913428035783,January,0.531794632334768
April,0.42876408152204404,February,0.5276888623649691
May,0.4010156222105253,March,0.4684913428035783
June,0.3491339208054067,April,0.42876408152204404
July,0.31780715500414086,May,0.4010156222105253
August,0.37132453827889667,June,0.3491339208054067
September,0.3722291205570115,July,0.31780715500414086
October,0.4374820269071139,August,0.37132453827889667
November,0.45861977094485434,September,0.3722291205570115
December,0.5094361538357205,October,0.4374820269071139
