oldMonth,oldNDVI,Month,NDVI
January,0.6792266789189091,November,0.5617084343050733
February,0.5847718170542776,December,0.6066959032600309
March,0.562191764925733,January,0.6792266789189091
April,0.5102919554099058,February,0.5847718170542776
May,0.5295770759256476,March,0.562191764925733
June,0.48762054298451596,April,0.5102919554099058
July,0.48488162657474176,May,0.5295770759256476
August,0.5382944507363402,June,0.48762054298451596
September,0.5805849037279092,July,0.48488162657474176
October,0.5665306714412041,August,0.5382944507363402
November,0.5617084343050733,September,0.5805849037279092
December,0.6066959032600309,October,0.5665306714412041
