,Month,Temp
415,August,67.24502224392361
416,September,66.38968370225695
417,October,65.55091688368056
418,November,63.870849609375
419,December,63.67912868923611
420,January,61.61058213975694
421,February,61.94047580295138
422,March,61.8221923828125
423,April,63.05916612413195
424,May,63.449926757812506
425,June,65.16540798611112
426,July,66.47655978732638
