,oldMonth,OldTemp,Month,Temp
0,January,61.28396474578421,May,63.82407598358168
1,February,60.71155027559563,June,65.0409594820117
2,March,61.25783688138308,July,66.29229153249061
3,April,62.27015986788732,August,66.76429392305883
4,May,63.82407598358168,September,66.28932421728845
5,June,65.0409594820117,October,65.81453466802039
6,July,66.29229153249061,November,64.20364103153628
7,August,66.76429392305883,December,62.24855890721378
8,September,66.28932421728845,January,61.28396474578421
9,October,65.81453466802039,February,60.71155027559563
10,November,64.20364103153628,March,61.25783688138308
11,December,62.24855890721378,April,62.27015986788732
