,oldMonth,oldET,Month,ET
0,January,3.2080928280279504,June,4.15172054788795
1,February,3.4091709811212816,July,4.058429552787048
2,March,3.6806531545886814,August,4.168433848823322
3,April,3.712444935964518,September,4.264355533307907
4,May,4.214012674116613,October,3.660953602944428
5,June,4.15172054788795,November,3.147259693674184
6,July,4.058429552787048,December,2.671517478661855
7,August,4.168433848823322,January,3.2080928280279504
8,September,4.264355533307907,February,3.4091709811212816
9,October,3.660953602944428,March,3.6806531545886814
10,November,3.147259693674184,April,3.712444935964518
11,December,2.671517478661855,May,4.214012674116613
