oldMonth,RF_in,Month,RF
January,3.1347663047917242,May,0.3758972688015561
February,1.8761016884892954,June,0.07698364178736264
March,1.73685663918745,July,0.15220274878141715
April,0.8646437955576571,August,0.19018381941444393
May,0.3758972688015561,September,0.17005256697949603
June,0.07698364178736264,October,0.6103092090441663
July,0.15220274878141715,November,1.4235036964260925
August,0.19018381941444393,December,2.308358627072979
September,0.17005256697949603,January,3.1347663047917242
October,0.6103092090441663,February,1.8761016884892954
November,1.4235036964260925,March,1.73685663918745
December,2.308358627072979,April,0.8646437955576571
