oldMonth,oldNDVI,Month,NDVI
January,0.49074632432725696,November,0.41269891197298775
February,0.5247174985909168,December,0.45107927487220295
March,0.47825832979178723,January,0.49074632432725696
April,0.4219353395989138,February,0.5247174985909168
May,0.397127637835989,March,0.47825832979178723
June,0.35460980597384634,April,0.4219353395989138
July,0.346318148479842,May,0.397127637835989
August,0.3386739190147813,June,0.35460980597384634
September,0.33648322314618323,July,0.346318148479842
October,0.37575639822544193,August,0.3386739190147813
November,0.41269891197298775,September,0.33648322314618323
December,0.45107927487220295,October,0.37575639822544193
