,oldMonth,tmean_f,Month,Temp
0,January,70.84328012094124,February,70.65063860857929
1,February,70.65063860857929,March,71.22083416220582
2,March,71.22083416220582,April,72.57764334972994
3,April,72.57764334972994,May,73.88241192853009
4,May,73.88241192853009,June,75.5696548273534
5,June,75.5696548273534,July,76.67968433521412
6,July,76.67968433521412,August,77.35661560812115
7,August,77.35661560812115,September,77.29359974802276
8,September,77.29359974802276,October,76.42281961323302
9,October,76.42281961323302,November,74.47259438597126
10,November,74.47259438597126,December,72.32818754219714
11,December,72.32818754219714,January,70.84328012094124
