,Year,Month,NDVI,datetime
105,2008.0,11.0,0.5115604938271605,2008-11-01
106,2008.0,12.0,0.6436080246913579,2008-12-01
107,2009.0,1.0,0.800141975308642,2009-01-01
108,2009.0,2.0,0.7791345679012347,2009-02-01
109,2009.0,3.0,0.7623722222222223,2009-03-01
110,2009.0,4.0,0.6865166666666668,2009-04-01
111,2009.0,5.0,0.6601456790123457,2009-05-01
112,2009.0,6.0,0.6129598765432098,2009-06-01
113,2009.0,7.0,0.541829012345679,2009-07-01
114,2009.0,8.0,0.7288074074074073,2009-08-01
115,2009.0,9.0,0.5847592592592594,2009-09-01
116,2009.0,10.0,0.6942851851851852,2009-10-01
117,2009.0,11.0,0.7265641975308641,2009-11-01
118,2009.0,12.0,0.8174666666666668,2009-12-01
119,2010.0,1.0,0.7514882716049384,2010-01-01
120,2010.0,2.0,0.7109395061728395,2010-02-01
121,2010.0,3.0,0.6852641975308642,2010-03-01
122,2010.0,4.0,0.6654561728395062,2010-04-01
123,2010.0,5.0,0.6378641975308643,2010-05-01
124,2010.0,6.0,0.5585839506172839,2010-06-01
125,2010.0,7.0,0.4668895061728395,2010-07-01
126,2010.0,8.0,0.4700944444444445,2010-08-01
127,2010.0,9.0,0.4492555555555555,2010-09-01
128,2010.0,10.0,0.4801382716049382,2010-10-01
129,2010.0,11.0,0.6596987654320988,2010-11-01
130,2010.0,12.0,0.7826709876543211,2010-12-01
131,2011.0,1.0,0.7946882716049383,2011-01-01
132,2011.0,2.0,0.7299635802469135,2011-02-01
133,2011.0,3.0,0.6801858024691358,2011-03-01
134,2011.0,4.0,0.6042135802469136,2011-04-01
135,2011.0,5.0,0.4462290123456789,2011-05-01
136,2011.0,6.0,0.5616037037037038,2011-06-01
137,2011.0,7.0,0.6290981481481481,2011-07-01
138,2011.0,8.0,0.4733314814814813,2011-08-01
139,2011.0,9.0,0.3921679012345679,2011-09-01
140,2011.0,10.0,0.3610296296296296,2011-10-01
141,2011.0,11.0,0.5474537037037037,2011-11-01
142,2011.0,12.0,0.7735697530864198,2011-12-01
143,2012.0,1.0,0.8407839506172841,2012-01-01
144,2012.0,2.0,0.7666956790123459,2012-02-01
145,2012.0,3.0,0.7393518518518519,2012-03-01
146,2012.0,4.0,0.6485432098765432,2012-04-01
147,2012.0,5.0,0.6050555555555557,2012-05-01
148,2012.0,6.0,0.6846148148148148,2012-06-01
149,2012.0,7.0,0.7031697530864197,2012-07-01
150,2012.0,8.0,0.6528154320987654,2012-08-01
151,2012.0,9.0,0.6678617283950619,2012-09-01
152,2012.0,10.0,0.629146913580247,2012-10-01
153,2012.0,11.0,0.5701074074074075,2012-11-01
154,2012.0,12.0,0.6186907407407407,2012-12-01
155,2013.0,1.0,0.6291814814814816,2013-01-01
156,2013.0,2.0,0.7017462962962964,2013-02-01
157,2013.0,3.0,0.720816049382716,2013-03-01
158,2013.0,4.0,0.6170364197530864,2013-04-01
159,2013.0,5.0,0.726629012345679,2013-05-01
160,2013.0,6.0,0.5573135802469137,2013-06-01
161,2013.0,7.0,0.4773746913580247,2013-07-01
162,2013.0,8.0,0.6453265432098766,2013-08-01
163,2013.0,9.0,0.5003530864197532,2013-09-01
164,2013.0,10.0,0.3824888888888888,2013-10-01
165,2013.0,11.0,0.4916024691358024,2013-11-01
166,2013.0,12.0,0.5957962962962963,2013-12-01
167,2014.0,1.0,0.7878358024691359,2014-01-01
168,2014.0,2.0,0.8783691358024692,2014-02-01
169,2014.0,3.0,0.8437376543209876,2014-03-01
170,2014.0,4.0,0.7486444444444446,2014-04-01
171,2014.0,5.0,0.8233370370370371,2014-05-01
172,2014.0,6.0,0.7429827160493828,2014-06-01
173,2014.0,7.0,0.7330179012345679,2014-07-01
174,2014.0,8.0,0.8179308641975308,2014-08-01
175,2014.0,9.0,0.7574913580246914,2014-09-01
176,2014.0,10.0,0.774172839506173,2014-10-01
177,2014.0,11.0,0.7999543209876544,2014-11-01
178,2014.0,12.0,0.8251969135802472,2014-12-01
179,2015.0,1.0,0.8335876543209877,2015-01-01
180,2015.0,2.0,0.8127734567901234,2015-02-01
181,2015.0,3.0,0.7838549382716049,2015-03-01
182,2015.0,4.0,0.7966209876543211,2015-04-01
183,2015.0,5.0,0.7647851851851852,2015-05-01
184,2015.0,6.0,0.7124228395061727,2015-06-01
185,2015.0,7.0,0.6544111111111112,2015-07-01
186,2015.0,8.0,0.8107037037037036,2015-08-01
187,2015.0,9.0,0.8713925925925927,2015-09-01
188,2015.0,10.0,0.856404938271605,2015-10-01
189,2015.0,11.0,0.8146783950617285,2015-11-01
190,2015.0,12.0,0.7774253086419753,2015-12-01
191,2016.0,1.0,0.7896296296296297,2016-01-01
192,2016.0,2.0,0.7679456790123456,2016-02-01
193,2016.0,3.0,0.7524691358024692,2016-03-01
194,2016.0,4.0,0.8431679012345679,2016-04-01
195,2016.0,5.0,0.803,2016-05-01
196,2016.0,6.0,0.7863722222222223,2016-06-01
197,2016.0,7.0,0.7867129629629629,2016-07-01
198,2016.0,8.0,0.8094154320987653,2016-08-01
199,2016.0,9.0,0.7807858024691359,2016-09-01
200,2016.0,10.0,0.7338074074074075,2016-10-01
201,2016.0,11.0,0.7348962962962964,2016-11-01
202,2016.0,12.0,0.8457746913580247,2016-12-01
203,2017.0,1.0,0.8392839506172838,2017-01-01
204,2017.0,2.0,0.7988024691358026,2017-02-01
205,2017.0,3.0,0.808122839506173,2017-03-01
206,2017.0,4.0,0.7702432098765432,2017-04-01
207,2017.0,5.0,0.7215611111111112,2017-05-01
208,2017.0,6.0,0.6074506172839508,2017-06-01
209,2017.0,7.0,0.5796679012345678,2017-07-01
210,2017.0,8.0,0.5418814814814815,2017-08-01
211,2017.0,9.0,0.4920098765432099,2017-09-01
212,2017.0,10.0,0.7416790123456791,2017-10-01
213,2017.0,11.0,0.8716179012345681,2017-11-01
214,2017.0,12.0,0.8561518518518519,2017-12-01
215,2018.0,1.0,0.8300456790123457,2018-01-01
216,2018.0,2.0,0.8337790123456792,2018-02-01
217,2018.0,3.0,0.7916407407407408,2018-03-01
218,2018.0,4.0,0.8014611111111112,2018-04-01
219,2018.0,5.0,0.8040191358024692,2018-05-01
220,2018.0,6.0,0.7993820987654321,2018-06-01
221,2018.0,7.0,0.796470987654321,2018-07-01
222,2018.0,8.0,0.7929537037037037,2018-08-01
223,2018.0,9.0,0.8553864197530864,2018-09-01
224,2018.0,10.0,0.8276222222222221,2018-10-01
225,2018.0,11.0,0.8325080246913582,2018-11-01
226,2018.0,12.0,0.7992401234567901,2018-12-01
227,2019.0,1.0,0.8125456790123456,2019-01-01
228,2019.0,2.0,0.8238234567901234,2019-02-01
229,2019.0,3.0,0.8316197530864196,2019-03-01
230,2019.0,4.0,0.8120845679012346,2019-04-01
231,2019.0,5.0,0.8131469135802469,2019-05-01
232,2019.0,6.0,0.7320370370370372,2019-06-01
233,2019.0,7.0,0.6513537037037038,2019-07-01
234,2019.0,8.0,0.6657327160493827,2019-08-01
235,2019.0,9.0,0.5482839506172839,2019-09-01
236,2019.0,10.0,0.5500555555555555,2019-10-01
237,2019.0,11.0,0.5901524691358025,2019-11-01
238,2019.0,12.0,0.7021413580246915,2019-12-01
239,2020.0,1.0,0.8088907407407407,2020-01-01
240,2020.0,2.0,0.8484475308641976,2020-02-01
241,2020.0,3.0,0.7976679012345678,2020-03-01
242,2020.0,4.0,0.7237339506172841,2020-04-01
243,2020.0,5.0,0.720782098765432,2020-05-01
244,2020.0,6.0,0.6949481481481482,2020-06-01
245,2020.0,7.0,0.6249055555555556,2020-07-01
246,2020.0,8.0,0.5958790123456792,2020-08-01
247,2020.0,9.0,0.5523938271604939,2020-09-01
248,2020.0,10.0,0.5235864197530864,2020-10-01
249,2020.0,11.0,0.783062962962963,2020-11-01
250,2020.0,12.0,0.7854049382716051,2020-12-01
251,2021.0,1.0,0.7768166666666667,2021-01-01
252,2021.0,2.0,0.8192524691358026,2021-02-01
253,2021.0,3.0,0.7081104938271605,2021-03-01
254,2021.0,4.0,0.5894351851851853,2021-04-01
255,2021.0,5.0,0.4945024691358025,2021-05-01
256,2021.0,6.0,0.4195796296296296,2021-06-01
257,2021.0,7.0,0.529583950617284,2021-07-01
258,2021.0,8.0,0.7251419753086419,2021-08-01
259,2021.0,9.0,0.531520987654321,2021-09-01
260,2021.0,10.0,0.5848506172839506,2021-10-01
261,2021.0,11.0,0.5282722222222223,2021-11-01
262,2021.0,12.0,0.7969685185185186,2021-12-01
263,2022.0,1.0,0.8406283950617283,2022-01-01
264,2022.0,2.0,0.5386814814814815,2022-02-01
265,2022.0,3.0,0.3659956790123457,2022-03-01
266,2022.0,4.0,0.7027845679012346,2022-04-01
267,2022.0,5.0,0.7050469135802471,2022-05-01
268,2022.0,6.0,0.6317481481481482,2022-06-01
269,2022.0,7.0,0.6162382716049384,2022-07-01
