oldMonth,RF_in,Month,RF
January,5.716255720114618,May,3.3848565905683157
February,4.6089186770776305,June,2.7030011980234026
March,6.4149179520125195,July,3.002469050968448
April,5.488612576362092,August,2.865809529315659
May,3.3848565905683157,September,1.9718464307384944
June,2.7030011980234026,October,2.61882259893001
July,3.002469050968448,November,4.127707479066609
August,2.865809529315659,December,5.632854655276596
September,1.9718464307384944,January,5.716255720114618
October,2.61882259893001,February,4.6089186770776305
November,4.127707479066609,March,6.4149179520125195
December,5.632854655276596,April,5.488612576362092
