oldMonth,oldNDVI,Month,NDVI
January,0.7277249051317756,November,0.6250488978256414
February,0.7084836531274112,December,0.7028263798466434
March,0.647978374339916,January,0.7277249051317756
April,0.6348021091558995,February,0.7084836531274112
May,0.6368119420036179,March,0.647978374339916
June,0.6045992544233969,April,0.6348021091558995
July,0.5662303093152169,May,0.6368119420036179
August,0.6121053623224821,June,0.6045992544233969
September,0.5763760871923433,July,0.5662303093152169
October,0.5472295141627646,August,0.6121053623224821
November,0.6250488978256414,September,0.5763760871923433
December,0.7028263798466434,October,0.5472295141627646
