,oldMonth,tmean_f,Month,Temp
0,January,69.30749768323011,February,69.04495246793017
1,February,69.04495246793017,March,69.75495047863619
2,March,69.75495047863619,April,70.76751030815973
3,April,70.76751030815973,May,71.87144926094714
4,May,71.87144926094714,June,72.96755544403453
5,June,72.96755544403453,July,74.09102918836805
6,July,74.09102918836805,August,74.71460993260513
7,August,74.71460993260513,September,74.56472778320312
8,September,74.56472778320312,October,73.88807011357059
9,October,73.88807011357059,November,72.3022920584973
10,November,72.3022920584973,December,70.40402342242959
11,December,70.40402342242959,January,69.30749768323011
