oldMonth,oldNDVI,Month,NDVI
January,0.667382686285325,November,0.6311551887606397
February,0.6160622186425292,December,0.6960039492006654
March,0.49711398984179084,January,0.667382686285325
April,0.5431402802806974,February,0.6160622186425292
May,0.5681867694583034,March,0.49711398984179084
June,0.5748399288905651,April,0.5431402802806974
July,0.5525204019102729,May,0.5681867694583034
August,0.6333219586161353,June,0.5748399288905651
September,0.653082978917889,July,0.5525204019102729
October,0.6432418098703295,August,0.6333219586161353
November,0.6311551887606397,September,0.653082978917889
December,0.6960039492006654,October,0.6432418098703295
