,oldMonth,OldTemp,Month,Temp
0,January,70.28359652526653,April,72.06016426296429
1,February,70.06928526261585,May,73.53880855588032
2,March,70.62606408601862,June,75.22427166103174
3,April,72.06016426296429,July,76.15051329475047
4,May,73.53880855588032,August,76.83249518869658
5,June,75.22427166103174,September,76.72001963494027
6,July,76.15051329475047,October,75.84122626545368
7,August,76.83249518869658,November,73.93234234724045
8,September,76.72001963494027,December,71.8077897141187
9,October,75.84122626545368,January,70.28359652526653
10,November,73.93234234724045,February,70.06928526261585
11,December,71.8077897141187,March,70.62606408601862
