oldMonth,RF_in,Month,RF
January,5.910264087664695,May,2.6081132615132456
February,4.770859690092675,June,1.6910977795798532
March,4.8989434101972735,July,2.0216635874210387
April,3.427230700707573,August,1.977780832092531
May,2.6081132615132456,September,2.1403389182065133
June,1.6910977795798532,October,3.770602892823257
July,2.0216635874210387,November,5.06780364363996
August,1.977780832092531,December,6.192642250409436
September,2.1403389182065133,January,5.910264087664695
October,3.770602892823257,February,4.770859690092675
November,5.06780364363996,March,4.8989434101972735
December,6.192642250409436,April,3.427230700707573
