,oldMonth,OldTemp,Month,Temp
0,January,69.38058078048859,April,71.07541992327741
1,February,69.1729337338458,May,72.70539843590285
2,March,69.71052730683583,June,74.47232395915518
3,April,71.07541992327741,July,75.4951049141605
4,May,72.70539843590285,August,76.2779164008427
5,June,74.47232395915518,September,76.2521318346693
6,July,75.4951049141605,October,75.20965326860366
7,August,76.2779164008427,November,72.83648937733355
8,September,76.2521318346693,December,70.66712751291803
9,October,75.20965326860366,January,69.38058078048859
10,November,72.83648937733355,February,69.1729337338458
11,December,70.66712751291803,March,69.71052730683583
