oldMonth,oldNDVI,Month,NDVI
January,0.5561140102810329,November,0.524209745430652
February,0.5513318379720052,December,0.5437030519085166
March,0.53449435952269,January,0.5561140102810329
April,0.5231989962875786,February,0.5513318379720052
May,0.5137313107366462,March,0.53449435952269
June,0.5061244384968495,April,0.5231989962875786
July,0.48852307753458774,May,0.5137313107366462
August,0.48167356942114326,June,0.5061244384968495
September,0.5010055476783687,July,0.48852307753458774
October,0.5238664080048332,August,0.48167356942114326
November,0.524209745430652,September,0.5010055476783687
December,0.5437030519085166,October,0.5238664080048332
