oldMonth,RF_in,Month,RF
January,2.7141521465699627,May,3.596648271261142
February,1.9660331295838664,June,3.846902067941142
March,2.8459794153132214,July,3.835421410084041
April,3.0916115172875225,August,3.7035253306030835
May,3.596648271261142,September,4.060724328673577
June,3.846902067941142,October,3.297633479621845
July,3.835421410084041,November,2.194576049012769
August,3.7035253306030835,December,2.1864464891832327
September,4.060724328673577,January,2.7141521465699627
October,3.297633479621845,February,1.9660331295838664
November,2.194576049012769,March,2.8459794153132214
December,2.1864464891832327,April,3.0916115172875225
