oldMonth,oldNDVI,Month,NDVI
January,0.6391707658179012,November,0.5826732984001254
February,0.5801002295223283,December,0.6552375134126639
March,0.565090680534457,January,0.6391707658179012
April,0.6009532080756294,February,0.5801002295223283
May,0.5630525396986451,March,0.565090680534457
June,0.5561657911918328,April,0.6009532080756294
July,0.5294636566075165,May,0.5630525396986451
August,0.5006458566852218,June,0.5561657911918328
September,0.5450515973488717,July,0.5294636566075165
October,0.5458761950616936,August,0.5006458566852218
November,0.5826732984001254,September,0.5450515973488717
December,0.6552375134126639,October,0.5458761950616936
