,oldMonth,OldTemp,Month,Temp
0,January,59.94101320226841,April,60.84591063943132
1,February,59.31559156489004,May,62.436643061928834
2,March,59.84198373310309,June,63.67383099132105
3,April,60.84591063943132,July,64.97600097833251
4,May,62.436643061928834,August,65.42036933535002
5,June,63.67383099132105,September,64.89249548218442
6,July,64.97600097833251,October,64.44744067213335
7,August,65.42036933535002,November,62.832995648800406
8,September,64.89249548218442,December,60.87155507936172
9,October,64.44744067213335,January,59.94101320226841
10,November,62.832995648800406,February,59.31559156489004
11,December,60.87155507936172,March,59.84198373310309
