,oldMonth,OldTemp,Month,Temp
0,January,68.08924928037024,April,69.62025428132637
1,February,67.76687931403848,May,71.13552695281948
2,March,68.24883562700208,June,72.8182272996201
3,April,69.62025428132637,July,73.79811557235787
4,May,71.13552695281948,August,74.45498923390124
5,June,72.8182272996201,September,74.18498259185685
6,July,73.79811557235787,October,73.40050768175081
7,August,74.45498923390124,November,71.57073970603066
8,September,74.18498259185685,December,69.51335941878156
9,October,73.40050768175081,January,68.08924928037024
10,November,71.57073970603066,February,67.76687931403848
11,December,69.51335941878156,March,68.24883562700208
