,Year,Month,Temp
0,1990.0,1.0,65.63699815538195
1,1990.0,2.0,63.307324218750004
2,1990.0,3.0,65.95399848090278
3,1990.0,4.0,68.74284939236111
4,1990.0,5.0,67.84663628472222
5,1990.0,6.0,69.628955078125
6,1990.0,7.0,71.0425048828125
7,1990.0,8.0,72.72332356770833
8,1990.0,9.0,71.65354817708334
9,1990.0,10.0,70.18088107638889
10,1990.0,11.0,68.19305555555556
11,1990.0,12.0,64.46399197048612
12,1991.0,1.0,66.43825412326389
13,1991.0,2.0,68.54033474392361
14,1991.0,3.0,63.24320203993055
15,1991.0,4.0,66.5826877170139
16,1991.0,5.0,68.22279730902778
17,1991.0,6.0,68.818505859375
18,1991.0,7.0,71.3642578125
19,1991.0,8.0,70.50003797743057
20,1991.0,9.0,72.82355414496527
21,1991.0,10.0,71.72918294270833
22,1991.0,11.0,71.2400146484375
23,1991.0,12.0,67.46358235677084
24,1992.0,1.0,67.30215386284723
25,1992.0,2.0,66.83423936631945
26,1992.0,3.0,67.1125
27,1992.0,4.0,67.53117947048611
28,1992.0,5.0,70.22888454861112
29,1992.0,6.0,67.47532280815972
30,1992.0,7.0,67.84697265625
31,1992.0,8.0,67.6611545138889
32,1992.0,9.0,69.54496256510416
33,1992.0,10.0,71.01202799479167
34,1992.0,11.0,68.43951822916667
35,1992.0,12.0,66.88018120659723
36,1993.0,1.0,65.04274359809028
37,1993.0,2.0,63.48742947048611
38,1993.0,3.0,63.75999348958334
39,1993.0,4.0,66.35337999131944
40,1993.0,5.0,66.00438368055556
41,1993.0,6.0,67.2771484375
42,1993.0,7.0,68.25990125868056
43,1993.0,8.0,69.46587456597223
44,1993.0,9.0,71.00002712673611
45,1993.0,10.0,70.166796875
46,1993.0,11.0,67.55950249565973
47,1993.0,12.0,66.19251844618056
48,1994.0,1.0,65.77514105902779
49,1994.0,2.0,66.38501519097223
50,1994.0,3.0,63.854801432291666
51,1994.0,4.0,63.41099989149306
52,1994.0,5.0,66.97975260416666
53,1994.0,6.0,65.70505642361111
54,1994.0,7.0,68.89664984809028
55,1994.0,8.0,68.96392686631944
56,1994.0,9.0,69.92430826822917
57,1994.0,10.0,70.17258843315972
58,1994.0,11.0,65.00922037760417
59,1994.0,12.0,65.89335123697917
60,1995.0,1.0,68.846728515625
61,1995.0,2.0,66.91966688368055
62,1995.0,3.0,68.70502387152777
63,1995.0,4.0,67.23211805555556
64,1995.0,5.0,68.29695638020834
65,1995.0,6.0,70.59763454861111
66,1995.0,7.0,71.26448296440972
67,1995.0,8.0,70.82106391059028
68,1995.0,9.0,72.20208333333333
69,1995.0,10.0,70.75215386284722
70,1995.0,11.0,69.64782443576388
71,1995.0,12.0,69.69552408854167
72,1996.0,1.0,66.74464518229166
73,1996.0,2.0,64.41435818142361
74,1996.0,3.0,65.607568359375
75,1996.0,4.0,68.63580457899306
76,1996.0,5.0,69.46672905815973
77,1996.0,6.0,68.40147298177084
78,1996.0,7.0,68.30056966145833
79,1996.0,8.0,70.02389051649305
80,1996.0,9.0,68.60068901909722
81,1996.0,10.0,71.07673611111112
82,1996.0,11.0,68.16182454427084
83,1996.0,12.0,65.89461263020834
84,1997.0,1.0,67.54039713541667
85,1997.0,2.0,65.53089192708333
86,1997.0,3.0,65.05602213541667
87,1997.0,4.0,66.85320366753473
88,1997.0,5.0,66.43846028645834
89,1997.0,6.0,65.79375
90,1997.0,7.0,70.99987250434027
91,1997.0,8.0,69.44177788628473
92,1997.0,9.0,68.40431315104166
93,1997.0,10.0,67.44930284288195
94,1997.0,11.0,67.301318359375
95,1997.0,12.0,62.662616644965276
96,1998.0,1.0,67.98203125
97,1998.0,2.0,67.88358561197917
98,1998.0,3.0,65.20603298611113
99,1998.0,4.0,60.827685546875
100,1998.0,5.0,64.17300347222222
101,1998.0,6.0,66.94094509548611
102,1998.0,7.0,69.673193359375
103,1998.0,8.0,69.58229709201389
104,1998.0,9.0,67.8164306640625
105,1998.0,10.0,67.88057725694445
106,1998.0,11.0,65.98656955295138
107,1998.0,12.0,63.871470811631944
108,1999.0,1.0,64.11943630642361
109,1999.0,2.0,62.416479492187506
110,1999.0,3.0,62.18433702256944
111,1999.0,4.0,68.09104817708334
112,1999.0,5.0,69.00606282552084
113,1999.0,6.0,69.92995876736111
114,1999.0,7.0,74.33102756076389
115,1999.0,8.0,74.19619411892361
116,1999.0,9.0,72.45785319010417
117,1999.0,10.0,70.68498806423611
118,1999.0,11.0,68.62303059895834
119,1999.0,12.0,67.16838650173611
120,2000.0,1.0,65.45311143663194
121,2000.0,2.0,70.11353624131945
122,2000.0,3.0,69.45418836805555
123,2000.0,4.0,68.277978515625
124,2000.0,5.0,71.59384494357639
125,2000.0,6.0,72.24705403645834
126,2000.0,7.0,73.14867892795138
127,2000.0,8.0,74.01630316840277
128,2000.0,9.0,72.35786675347222
129,2000.0,10.0,73.73760308159723
130,2000.0,11.0,70.35752495659722
131,2000.0,12.0,70.09006618923611
132,2001.0,1.0,71.30168728298611
133,2001.0,2.0,66.96995985243055
134,2001.0,3.0,67.94650065104167
135,2001.0,4.0,68.03261176215278
136,2001.0,5.0,70.34165852864584
137,2001.0,6.0,72.01516384548611
138,2001.0,7.0,74.24471299913195
139,2001.0,8.0,75.59526367187499
140,2001.0,9.0,75.13821614583333
141,2001.0,10.0,73.04038899739584
142,2001.0,11.0,72.43564453125
143,2001.0,12.0,67.83649631076389
144,2002.0,1.0,67.9715576171875
145,2002.0,2.0,67.61937391493056
146,2002.0,3.0,69.27521701388889
