oldMonth,RF_in,Month,RF
January,3.445469105568882,May,0.6972499039573816
February,2.3899609206939822,June,0.2774850838712754
March,2.4267635672150636,July,0.492942786196664
April,1.5483486569490537,August,0.5533568551432009
May,0.6972499039573816,September,0.47427999698697104
June,0.2774850838712754,October,1.0059326046374553
July,0.492942786196664,November,1.7018875257019213
August,0.5533568551432009,December,2.713427198650778
September,0.47427999698697104,January,3.445469105568882
October,1.0059326046374553,February,2.3899609206939822
November,1.7018875257019213,March,2.4267635672150636
December,2.713427198650778,April,1.5483486569490537
