oldMonth,oldNDVI,Month,NDVI
January,0.56471406913098,November,0.43921953742886766
February,0.5770609584855445,December,0.4945151595127435
March,0.5325508428502966,January,0.56471406913098
April,0.4381418291546567,February,0.5770609584855445
May,0.3840821475384921,March,0.5325508428502966
June,0.3473169140213462,April,0.4381418291546567
July,0.32545776131712356,May,0.3840821475384921
August,0.3290197086243661,June,0.3473169140213462
September,0.34447290596232905,July,0.32545776131712356
October,0.3652978500409683,August,0.3290197086243661
November,0.43921953742886766,September,0.34447290596232905
December,0.4945151595127435,October,0.3652978500409683
