SoilSymbol,Pasture Group,Organic Matter,pH,Unimproved,Poor,Favorable,Improved,Good,Favorable,Temp Regime,Moisture Regime,% nonproductive,Map Unit Name
136,14,50,5.4,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Kekake gravelly highly decomposed plant material, 10 to 20 percent slopes"
137,14,50,5.4,1000,1500,2000,2500,3250,4000,isomesic ,ustic,35%,"Kekake-Lava flows complex, 2 to 10 percent slopes"
138,14,50,5.4,1000,1500,2000,2500,3250,4000,isomesic ,ustic,35%,"Kekake-Lava flows complex, 10 to 25 percent slopes"
139,14,35,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Kamawai-Puuiki complex, moist, 10 to 20 percent slopes"
140,14,50,6.3,1000,1500,2000,2500,3250,4000,isothermic,udic,,"Kona and Haplic Udarents soils, 2 to 10 percent slopes"
142,14,50,6.3,1000,1500,2000,2500,3250,4000,isothermic,udic,,"Kona and Haplic Udarents soils, 10 to 20 percent slopes"
143,14,50,6.3,1000,1500,2000,2500,3250,4000,isothermic,udic,35%,"Kona-Lava flows complex, 2 to 10 percent slopes"
144,14,50,6.3,1000,1500,2000,2500,3250,4000,isothermic,udic,35%,"Kona-Lava flows complex, 10 to 20 percent slopes"
145,14,35,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Kamawai-Puuiki complex, moist, 20 to 50 percent slopes"
146,6,,,4000,5000,6000,8000,12000,16000,,,70%,"Lava flows-Kona complex, 10 to 20 percent slopes"
147,14,50,6.3,1000,1500,2000,2500,3250,4000,isothermic,udic,,"Kona very cobbly highly decomposed plant material, 20 to 40 percent slopes"
148,14,50,6.3,1000,1500,2000,2500,3250,4000,isothermic,udic,,"Kona-Napoopoo complex, 2 to 10 percent slopes"
149,14,50,6.3,1000,1500,2000,2500,3250,4000,isothermic,udic,,"Kona-Napoopoo complex, 10 to 20 percent slopes"
150,2,35,6.9,2000,3000,4000,5000,6500,8000,isothermic,ustic,35%,"Puuikaaka-Lava flows complex, 2 to 10 percent slopes"
151,2,35,6.9,2000,3000,4000,5000,6500,8000,isothermic,ustic,35%,"Puuikaaka-Lava flows complex, 10 to 20 percent slopes"
152,2,,,2000,3000,4000,5000,6500,8000,,,70%,"Lava flows-Puuikaaka complex, 2 to 20 percent slopes"
153,14,35,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Kamawai extremely cobbly medial highly decomposed plant material, moist, 10 to 20 percent slopes"
154,14,50,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,35%,"Puuiki-Lava flows complex, moist, 2 to 10 percent slopes"
155,14,35,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Kamawai extremely cobbly medial highly decomposed plant material, moist, 2 to 10 percent slopes"
156,2,35,6.1,2000,3000,4000,5000,6500,8000,isothermic,ustic,,"Napuu extremely cobbly medial highly decomposed plant material, 2 to 10 percent slopes"
157,2,35,6.1,2000,3000,4000,5000,6500,8000,isothermic,ustic,,"Napuu extremely cobbly medial highly decomposed plant material, 10 to 20 percent slopes"
158,2,0,7,2000,3000,4000,5000,6500,8000,isothermic,ustic,70%,"Lava flows-Napuu complex, 2 to 20 percent slopes"
159,2,35,6.1,2000,3000,4000,5000,6500,8000,isothermic,ustic,,"Napuu extremely cobbly medial highly decomposed plant material, 40 to 70 percent slopes"
160,14,50,5.4,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Kekake-Mawae complex, 2 to 10 percent slopes"
161,14,50,5.4,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Kekake-Mawae complex, 10 to 20 percent slopes"
162,0,,,0,0,0,0,0,0,,,,"Lava flows-Kekake complex, 2 to 10 percent slopes"
163,0,,,0,0,0,0,0,0,,,,"Lava flows-Kekake complex, 10 to 20 percent slopes"
164,0,,,0,0,0,0,0,0,,,,"Lava flows-Kekake complex, 2 to 20 percent slopes"
165,14,50,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,35%,"Puuiki-Lava flows complex, 2 to 10 percent slopes"
166,14,50,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,35%,"Puuiki-Lava flows complex, 10 to 20 percent slopes"
167,14,,,1000,1500,2000,2500,3250,4000,,,70%,"Lava flows-Puuiki complex, 2 to 20 percent slopes"
169,16,11.6,6.1,500,750,1000,7000,1500,2000,isomesic ,ustic,40%,"Iwalani-Lava flows complex, moist, 2 to 10 percent slopes"
170,14,50,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Puuiki-Kamawai complex, 2 to 10 percent slopes"
172,14,35,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Kamawai-Puuiki complex, 2 to 10 percent slopes"
173,14,35,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Kamawai-Puuiki complex, 10 to 20 percent slopes"
175,0,35,6.1,0,0,0,0,0,0,isomesic ,ustic,,"Kamawai extremely cobbly medial highly decomposed plant material, 2 to 10 percent slopes"
176,0,35,6.1,0,0,0,0,0,0,isomesic ,ustic,,"Kamawai extremely cobbly medial highly decomposed plant material, 10 to 20 percent slopes"
177,0,0,7,0,0,0,0,0,0,,,,"Lava flows-Kamawai complex, 2 to 20 percent slopes"
178,0,35,6.1,0,0,0,0,0,0,isomesic ,ustic,,"Kamawai extremely cobbly highly organic medial silt loam, 20 to 50 percent slopes"
179,13,11.6,6.1,4000,6000,8000,9000,12000,15000,isomesic ,ustic,30%,"Iwalani-Lava flows complex, moist, 10 to 20 percent slopes"
180,14,0,7,1000,1500,2000,2500,3250,4000,,,60%,"Lava flows-Halekula complex, moist, 2 to 20 percent slope"
201,7,12.05,6,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Honaunau hydrous silt loam, 2 to 10 percent slopes"
202,7,12.05,6,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Honaunau hydrous silt loam, 10 to 20 percent slopes"
204,7,12.05,6,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Honaunau cobbly hydrous silt loam, 10 to 20 percent slopes"
205,16,15.27,6,500,750,1000,7000,1500,2000,isomesic,,,"Ihuanu very cobbly medial silt loam, moist, 10 to 20 percent slopes"
206,16,15.27,6,500,750,1000,7000,1500,2000,isomesic,,,"Ihuanu very cobbly medial silt loam, moist, 2 to 10 percent slopes"
211,12,4.89,6.8,3000,4000,5000,6000,8000,10000,isothermic,,,"Kapulehu very cobbly medial silt loam, moist, 2 to 10 percent slopes"
212,12,4.89,6.8,3000,4000,5000,6000,8000,10000,isothermic,,,"Kapulehu very cobbly medial silt loam, moist, 10 to 20 percent slopes"
213,0,4.67,6.7,0,0,0,0,0,0,isothermic,ustic,,"Nanaia-Lava flows complex, moist, 2 to 10 percent slopes"
214,0,,,,,,,,,,,,"Lava flows-Nanaia complex, moist, 2 to 20 percent slopes"
215,12,4.09,6.1,3000,4000,5000,6000,8000,10000,isothermic,,,"Keaa cobbly medial loam, moist, 2 to 10 percent slopes"
216,12,4.09,6.1,3000,4000,5000,6000,8000,10000,isothermic,,,"Keaa cobbly medial loam, moist, 10 to 20 percent slopes"
217,5,4.89,6.8,4000,5000,6000,8000,12000,16000,isothermic,,,"Kapulehu-Keaa complex, moist, 20 to 40 percent slopes"
218,12,10.73,6,3000,4000,5000,6000,8000,10000,isothermic,,,"Kiolakaa medial loam, moist, 2 to 10 percent slopes"
