oldMonth,oldNDVI,Month,NDVI
January,0.5785132467010875,November,0.4433497016812548
February,0.5592050886742862,December,0.5390112106888383
March,0.5126685013005763,January,0.5785132467010875
April,0.45139748282581993,February,0.5592050886742862
May,0.4413347253319432,March,0.5126685013005763
June,0.3726191108609423,April,0.45139748282581993
July,0.3463365889003134,May,0.4413347253319432
August,0.38066168003498885,June,0.3726191108609423
September,0.37656462000079755,July,0.3463365889003134
October,0.37749046387269397,August,0.38066168003498885
November,0.4433497016812548,September,0.37656462000079755
December,0.5390112106888383,October,0.37749046387269397
