oldMonth,RF_in,Month,RF
January,2.8560847950529875,February,2.25710168880261
February,2.25710168880261,March,2.169163337948949
March,2.169163337948949,April,1.9070812671110826
April,1.9070812671110826,May,1.175665099961416
May,1.175665099961416,June,0.8941824038410202
June,0.8941824038410202,July,1.4236784891161263
July,1.4236784891161263,August,1.2449116263438766
August,1.2449116263438766,September,0.7423492645292946
September,0.7423492645292946,October,1.2795699450700635
October,1.2795699450700635,November,2.1767434152889713
November,2.1767434152889713,December,2.096967998965241
December,2.096967998965241,January,2.8560847950529875
