,oldMonth,OldTemp,Month,Temp
0,January,59.71968683778966,April,60.61118634952293
1,February,59.08552969953568,May,62.20799051593617
2,March,59.60864287039913,June,63.44851684706032
3,April,60.61118634952293,July,64.75901650152281
4,May,62.20799051593617,August,65.19888298867146
5,June,63.44851684706032,September,64.66229023754438
6,July,64.75901650152281,October,64.222135194222
7,August,65.19888298867146,November,62.6071055141923
8,September,64.66229023754438,December,60.64461679012717
9,October,64.222135194222,January,59.71968683778966
10,November,62.6071055141923,February,59.08552969953568
11,December,60.64461679012717,March,59.60864287039913
