Year,Month,Day,RF_in
2024,7,1,0.0024119637456778
2024,7,2,0.0461270174827661
2024,7,3,4.736381190270113e-07
2024,7,4,0.0005187391597443
2024,7,5,0.0
2024,7,6,0.0039687934950395
2024,7,7,0.0176247950602379
2024,7,8,0.0503129978574862
2024,7,9,0.0088412812445176
2024,7,10,0.0009430950858612
2024,7,11,0.0036744062298181
2024,7,12,0.0010957946881175
2024,7,14,0.0
2024,7,15,1.2222922997281376e-05
2024,7,17,0.0388710531488943
2024,7,18,0.0039323513994785
2024,7,19,0.4139186309936085
2024,7,20,0.8682946647999296
2024,7,21,0.0574030653199939
2024,7,22,0.0002632286431108
2024,7,23,0.0622171747032055
2024,7,24,0.0168327345634394
2024,7,25,0.0038116384064756
2024,7,26,0.0185348805178819
2024,7,27,0.0035655158966174
2024,7,28,0.0095458404772411
2024,7,29,0.0160362371216828
2024,7,30,0.0980123774099363
2024,7,31,0.0090847866428805
2024,8,5,0.0045691364370282
2024,8,6,0.0001442959528339
2024,8,7,0.0
2024,8,8,0.0114462629889125
2024,8,9,0.0144179917012241
2024,8,10,0.0002688490476484
2024,8,11,0.0036441041021754
2024,8,12,0.0030605394592018
2024,8,13,0.0054470290129045
2024,8,14,0.0002506818277235
2024,8,15,0.0174410335985393
2024,8,16,0.0021584161206076
2024,8,17,0.0017206738615587
2024,8,18,0.0302121130986963
2024,8,19,0.0034310023453442
2024,8,20,0.0
2024,8,21,0.0033020391470722
2024,8,22,0.0023628711190552
2024,8,23,0.009253275594918
2024,8,24,2.250787885726524
2024,8,25,13.208433581219015
2024,8,26,0.0185554743948768
2024,8,27,0.0033512998046756
2024,8,28,0.0821622527930807
2024,8,29,0.0099655953095143
2024,8,30,0.0368293427721084
2024,8,31,0.0190407830957097
2024,9,2,0.0
2024,9,3,0.0057204935239426
2024,9,4,0.0625934602684213
2024,9,5,0.020883767287539
2024,9,6,0.2431344378732715
2024,9,7,0.0517101552983096
2024,9,8,0.0129529200780376
2024,9,9,0.07001793580395
2024,9,10,0.1892142204521255
2024,9,11,0.1167235657669798
2024,9,12,0.01874525623278888
