oldMonth,oldNDVI,Month,NDVI
January,0.6143071869273244,November,0.5812541481300637
February,0.5491605447839807,December,0.6388771584593219
March,0.4708299952377508,January,0.6143071869273244
April,0.47842331331113574,February,0.5491605447839807
May,0.4561152861215676,March,0.4708299952377508
June,0.4769622308236581,April,0.47842331331113574
July,0.5474225892866665,May,0.4561152861215676
August,0.5179253566412279,June,0.4769622308236581
September,0.49648689838782556,July,0.5474225892866665
October,0.5347842182981776,August,0.5179253566412279
November,0.5812541481300637,September,0.49648689838782556
December,0.6388771584593219,October,0.5347842182981776
