oldMonth,RF_in,Month,RF
January,7.436722196054341,May,3.74478893130684
February,4.771253241017374,June,1.768323513281566
March,6.897153191742138,July,2.613832220714438
April,5.438943589028115,August,3.9318743024265705
May,3.74478893130684,September,3.9818001783145296
June,1.768323513281566,October,5.382988654071902
July,2.613832220714438,November,5.583024273076374
August,3.9318743024265705,December,5.92488160312627
September,3.9818001783145296,January,7.436722196054341
October,5.382988654071902,February,4.771253241017374
November,5.583024273076374,March,6.897153191742138
December,5.92488160312627,April,5.438943589028115
