oldMonth,oldNDVI,Month,NDVI
January,0.57570784356859,November,0.5633131366305881
February,0.4850113497840033,December,0.5969177881876627
March,0.41763687663608123,January,0.57570784356859
April,0.35392528670465845,February,0.4850113497840033
May,0.37420128706174016,March,0.41763687663608123
June,0.3714309686269515,April,0.35392528670465845
July,0.4987552145607451,May,0.37420128706174016
August,0.43985277363377756,June,0.3714309686269515
September,0.4021979305479262,July,0.4987552145607451
October,0.5020897734878409,August,0.43985277363377756
November,0.5633131366305881,September,0.4021979305479262
December,0.5969177881876627,October,0.5020897734878409
