oldMonth,RF_in,Month,RF
January,2.4728948463057354,May,4.610829677395079
February,2.362496328133985,June,2.427593760406273
March,3.6936674739445796,July,3.228928325384003
April,2.935582205857029,August,3.3952185438533293
May,4.610829677395079,September,3.03904939530995
June,2.427593760406273,October,2.613088457949493
July,3.228928325384003,November,1.9386202057287276
August,3.3952185438533293,December,2.138564973397089
September,3.03904939530995,January,2.4728948463057354
October,2.613088457949493,February,2.362496328133985
November,1.9386202057287276,March,3.6936674739445796
December,2.138564973397089,April,2.935582205857029
